ID Documento,Fecha,Producto,Cantidad,Estado,FacturaID_Vinculada,ProductId
0ACU3kAX8TCkNSdEleFC,2026-05-01,Washa de eje principal,1,facturado,E16RXZy5k9EiHtpoinQa,BJHnzdBLxwSDWhbOXcCD
0ktCaEVVli6WkkxaLwkT,2026-05-01,Kit de sellos de valvulas,1,facturado,eNCNI0TYfRDw75qu8mGD,KfBkeFOQXg721pQ3UKkP
0lO4jp4O6KgLTKi7Fig0,2026-05-12,Polvera grande,2,pendiente,,o76vNetcNhT9apKcuUVK
142u5gMPlvjRERYuM6uH,2026-05-11,Aceite REPSOL 20W50 1000ml,2,pendiente,,MxZYt471Hv0ZhT0oI8gt
1EIuJ1R8qpUsFjMkxTTb,2026-05-13,Aceite REPSOL 20W50 1000ml,2,pendiente,,MxZYt471Hv0ZhT0oI8gt
1LvH6dd7E7GhrMO4bKTf,2026-05-12,Switch de freno 2007 Bajaj,1,facturado,FasfNCOW6BIaFFx51ncn,y33BLkAI5s1VIE3UWFuf
1pTWMr17ehzQeHt2V9uY,2026-05-07,Cable de clutch compact Bajaj,1,facturado,DgOcpmFeobVPWR5FMKBd,YwFBh8gSR2cqUzSV2cUM
1z07AXhugLt4D4UlZfd4,2026-05-13,Polvera grande,2,pendiente,,o76vNetcNhT9apKcuUVK
28azc86CfcyxLBbqzVUn,2026-05-06,Aceite REPSOL 20W50 1000ml,1,facturado,DgOcpmFeobVPWR5FMKBd,MxZYt471Hv0ZhT0oI8gt
2AQ7VxfpqfdPlvOMgmZZ,2026-05-05,Filtro de aceite compact,1,facturado,zoyliGkrbviTL3x5RnOf,46jf95e2CO7XcCWDWq8v
2EPFjv9wY3qCAMYEkRdk,2026-05-13,Aceite REPSOL 20W50 1000ml,2,pendiente,,MxZYt471Hv0ZhT0oI8gt
2GI1J7mhwFtPVf670nCV,2026-05-12,Piña multiple 175,1,pendiente,,cE6TrQQ4vQ2YP344B5vY
2JPPA4TMBERkTtwcTYJw,2026-05-05,Kit de retenedores 175,1,facturado,MXeq9c7xDcWMf6VeIIXh,7w53huDrJrIGgVMPt6XM
2K2XNYZG0MnbFJeg47zU,2026-05-09,Filtro de aceite compact,1,facturado,5hi7MYFXUW72Wf2U7T0x,46jf95e2CO7XcCWDWq8v
2bWofDxquXmqctSuUvCD,2026-05-05,Focos de 2 contactos,2,facturado,FtMvQe4K34ss22jjIyoi,KAmVRz4jn6YlUVpxwiXr
3ApF2Bmb9qmXaW6FTZmd,2026-05-01,Balero 16007 Bajaj,1,facturado,eNCNI0TYfRDw75qu8mGD,qBfcZREXPI7h4CA4Vb7J
3b3dc5m8tSTOzL60wmWf,2026-05-04,Filtro y empaque,1,facturado,SOGjRerjott7P4a2tmZw,eqUw92h7s5dtXhgy5eTJ
3bFosykXqH0YhczNb5aS,2026-05-07,Tope de flecha,1,pendiente,,JWSujng8noxUgEfwmLNN
3h8MzPdffGXK7KvM8ryC,2026-05-01,Eje de piña,1,facturado,E16RXZy5k9EiHtpoinQa,xyO88XVEhsTZcZQGSr8Y
3lj4BIeQsnUVmKjaORgu,2026-05-13,Filtro de aceite compact,1,pendiente,,46jf95e2CO7XcCWDWq8v
3nboBgn3rkr5mEW383Zn,2026-05-09,Aceite REPSOL 20W50 1000ml,3,facturado,Z0TI3NufVPZdoURsiqBl,MxZYt471Hv0ZhT0oI8gt
4d4zABW0WKBM3PATckIU,2026-05-11,Aceite REPSOL 20W50 1000ml,2,pendiente,,MxZYt471Hv0ZhT0oI8gt
4dln3vL6z7VfGUXmudB8,2026-05-05,Stop completo LH 205 compact,1,facturado,6NtuAPjx2rqXxrnt7ULo,NgeIRZSL8a1QrwteRFmP
4fwievPQJBqjZCWKCFgk,2026-05-13,Aceite CASTROL 20W50 1000ml,1,facturado,5hi7MYFXUW72Wf2U7T0x,iIPhKSCzDDkLG4BMkLHn
4jP1hIblHIBp7Ykqj6Ap,2026-05-05,Bomba trasera,1,facturado,6NtuAPjx2rqXxrnt7ULo,k799vWanLuRNf04a2Fwn
4qNkpH1Et3IB9HjrevG2,2026-05-05,Filtro de aire,1,facturado,zoyliGkrbviTL3x5RnOf,Ulg5n09bZ3c5wTboyPqz
5aMVCtWtb4nziHWS7AJu,2026-05-05,Filtro de aceite compact,1,facturado,GSKWpNj6adsGs1qc0LDE,46jf95e2CO7XcCWDWq8v
5cYHDXmW2hkuMhBZ42xP,2026-05-09,Cable de acelerador 2022,1,pendiente,,7EinWhC5LBqYjcfha3ge
5gc30G7lR10HjlOZ17Ex,2026-05-09,Kit de discos de clutch pasta,1,pendiente,,O6FO97obZNJr9tyzNJs4
5n5aCaRoCGbiSs9WgKwp,2026-05-09,Bomba de aceite,1,facturado,FasfNCOW6BIaFFx51ncn,YsI2N2GF4Mjz11YVMJWs
5okamyFoNIFRa8NRgTMo,2026-05-05,Foco 67 de via,10,facturado,v1dXhJ7zoPQC4lQVa9lD,0JF5ARpMu2bCWsvSn7Yh
5qnn6LTg98nzFr3VcW4X,2026-05-05,Rin completo bajaj,1,facturado,kYGObPwwlKM3PVuUoseD,5QYSH5B6RjdeET5fwBLG
5uWJcEXvWpYqj55qXJVD,2026-05-04,Empaque de freno trasero,2,facturado,SOGjRerjott7P4a2tmZw,c3VvKk2OXo2CU9FKbg6e
5zqxLCR8U1Zrj1YDjEKR,2026-05-05,Kit de empaques 205,1,facturado,XZDY7grcCtKXTxhTrjV6,2fwhPCyLREtyq6W2es7t
61siXZipsIrKIdWUaFUU,2026-05-06,Filtro y empaque,1,facturado,lI0BG91jaOWACnPWIEky,eqUw92h7s5dtXhgy5eTJ
66GfSNI03nmEZSUF9vk4,2026-05-07,Polvera grande,2,pendiente,,o76vNetcNhT9apKcuUVK
6NeDszFBbGfAKgKWO6BK,2026-05-12,Pivot,1,facturado,FasfNCOW6BIaFFx51ncn,ezNs4lrtDn35wJ0iV0tN
6OwJc4bjdOl3U7lNrSmR,2026-05-13,Aceite REPSOL 20W50 1000ml,2,pendiente,,MxZYt471Hv0ZhT0oI8gt
6VAgx4VKpfYACIcoGCav,2026-05-01,Empaque de Clutch,1,facturado,8gGt5lmV26MfTBudXbDD,6hhJjR5wumxRtnrahX4d
